equipmentCodeId,jobId,createdTimestampUtc,createdByUserId,equipmentCode,description,accountingCode,estimatingCode,jobOperatorLaborCodeId,isActive,jobChargeRatePerHour,uuid
2917,NULL,NULL,45,R-00D131,"JOHN DEERE 700L LGP DOZER (Performance)",1O,NULL,NULL,1,NULL,9c530b43-16ee-4d64-a467-416e11f7bc35
2918,NULL,NULL,45,R-00D131,"JOHN DEERE 700L LGP DOZER (Performance)",FHM,NULL,NULL,1,NULL,a70bca1a-be4a-4aa8-96e8-485435d8fc4e
2919,NULL,NULL,45,R-000R72,"HAMM H121 VIB COMPACTOR 84" (Performance)",1M,NULL,NULL,1,NULL,0794d195-3252-45e3-b989-06e47ba1cca0
2920,NULL,NULL,45,R-00D132,"JOHN DEERE 850L Dozer (Performance)",1O,NULL,NULL,1,NULL,bdc67165-ec06-4ff1-b549-e0851ab7cf29
2921,NULL,NULL,45,R-000E3R,"HITACHI ZX210 EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,4a8834fb-1a3b-4b01-9e51-11372d6d8a82
2922,NULL,NULL,45,R-00D132,"JOHN DEERE 850L Dozer (Performance)",FHM,NULL,NULL,1,NULL,80af8fad-545c-46fe-bb0a-e0081c04f86e
2923,NULL,NULL,45,R-000R91,"HAMM H7I VIBRATORY COMPACTOR 66" (Performance)",FHM,NULL,NULL,1,NULL,6f02b9ed-2f49-4c6b-a3df-0a29d01c773e
2924,NULL,NULL,45,R-00E144,"CAT330 CL EXCAVATOR (Performance)",1O,NULL,NULL,1,NULL,107b755a-6bbb-4ab6-a1d5-77624f288fc2
2925,NULL,NULL,45,R-00D141,"JOHN DEERE 850L DOZER (Performance)",FHM,NULL,NULL,1,NULL,a47415a4-02b9-4ba2-803a-b50065f11d7c
2926,NULL,NULL,45,R-00E150,"SANY SY235C EXCAVATOR (Performance)",1O,NULL,NULL,1,NULL,0a913b94-f4e0-48c9-a351-92c0bff95e88
2927,NULL,NULL,45,R-00E150,"SANY SY235C EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,51aac209-8c2c-4a04-a48d-8de4430422a0
2928,NULL,NULL,45,R-00E150,"SANY SY235C EXCAVATOR (Performance)",FHM,NULL,NULL,1,NULL,aa813e39-8b52-4a52-ae9b-94f782558415
2929,NULL,NULL,45,R-00D141,"JOHN DEERE 850L DOZER (Performance)",1M,NULL,NULL,1,NULL,f35cd187-a3fe-44b8-8e80-d45d6fd92543
2930,NULL,NULL,45,R-00E144,"CAT330 CL EXCAVATOR (Performance)",FHM,NULL,NULL,1,NULL,d1e49b83-da6e-4c8c-a8c5-ebae6c0a256f
2931,NULL,NULL,45,R-00E144,"CAT330 CL EXCAVATOR (Performance)",8D,NULL,NULL,1,NULL,3ccbec80-c29b-45a9-9e2a-34ed82588bd0
2932,NULL,NULL,45,R-00D132,"JOHN DEERE 850L Dozer (Performance)",1M,NULL,NULL,1,NULL,eb968b10-b04e-418f-9e24-6df9f099a0dd
2933,NULL,NULL,45,R-00E160,"JD210GLC EXCAVATOR (Performance)",8D,NULL,NULL,1,NULL,046191ec-57a9-40be-ad1e-24e0a2115d53
2934,NULL,NULL,45,R-00E160,"JD210GLC EXCAVATOR (Performance)",8M,NULL,NULL,1,NULL,3273c7a1-2a66-4ab9-bdc7-8f6f77bd558a
2935,NULL,NULL,45,R-00E144,"CAT330 CL EXCAVATOR (Performance)",8M,NULL,NULL,1,NULL,16e79afc-bd8c-4d21-8326-6457cc116f11
2936,NULL,NULL,45,R-00E168,"JD350G EXCAVATOR w/ H160 Hammer (Performance)",1O,NULL,NULL,1,NULL,ced23b72-00d7-4dc5-a871-7e981f1f5221
2937,NULL,NULL,45,R-00E168,"JD350G EXCAVATOR w/ H160 Hammer (Performance)",1M,NULL,NULL,1,NULL,0996b447-5e79-4726-88a5-deae95ac393d
2938,NULL,NULL,45,R-00E207,"JOHN DEERE 135G EXCAVATOR (Performance Eq) OFF RENT 6/4/21",8M,NULL,NULL,1,NULL,78b068c8-60fe-4193-b200-770faebb7101
2939,NULL,NULL,45,R-00E170,"JD245G ZERO SWING EXCAVATOR (Performance)",1M,NULL,NULL,1,NULL,2ad4df73-2afb-46af-b714-f80e4b31ea11
2940,NULL,NULL,45,R-00E168,"JD350G EXCAVATOR w/ H160 Hammer (Performance)",FHM,NULL,NULL,1,NULL,b505c46f-14d2-42c1-ac5e-14f440dc9645
2941,NULL,NULL,45,R-00E196,"JD300G EXCAVATOR (Performance)",8M,NULL,NULL,1,NULL,5284fbb7-0e8e-4271-983e-ad01b98ccb85
